Question;Answer
Jelaskan mengenai PT. Bali Surya Pratama !;Salah satu perusahaan kontraktor yang bergerak dalam bidang pengadaan, engineering, dan pengelolan process limbah
Apa saja visi dan misi  PT. Bali Surya Pratama ?  ;"Visi, menjadi perusahaan yang terkemuka dalam pengelolaan limbah 
Misi, membuat product yang menjadi role model dalam pengolahan limbah. Melakukan development dalam membantu partner dalam pengelolan limbah"
Jenis limbah apa saja yang diolah oleh perusahaan? Coba jelaskan ;Limbah cair domestic, cair B3, limbah udara
Dapatkah Anda menjelaskan secara singkat proses pengolahan limbah yang diterapkan di perusahaan?  ;Melakukan asesement jenis, kuantitas dan kualitas limbah. Menentukan process yang tepat dalam pengolahan limbah, membuat design selanjutnya memasang peralatan. Setelah terpasang menentukan parameter process agar proces bisa berjalan optimal dan sustain
Bagaimana perusahaan memastikan bahwa proses pengolahan limbah ramah lingkungan dan memenuhi standar kualitas? ;Melakukan asesment yang tepat dan memastikan design yang optimal, ketika sudah beroperasi memastikan pengoperasian dan perawatan bisa dilakukan secara berkesinambungan. Melakukan uji kualitas secara rutin sesuai standard yang berlaku
Produk dan alat pengolahan limbah apa saja yang ditawarkan oleh PT. Bali Surya Pratama? ;Instalasi pengolahan limbah (IPAL), Waste water treatment plant (WWTP - Limbah cair B3), Pengolahan air bersih (WTP), Pengelolaan system rekayasa Udara (Air Pollution Control/APC), Baik secara system, utilitas maupun sparepart
Bagaimana spesifikasi teknis dan kapasitas produk pengolahan limbah yang tersedia? ;Kapasitas dan spesifikasi teknis sangat flexible menyesuaikan dengan kebutuhan dan rencana dari global design yang ada
Apakah produk pengolahan limbah yang ada dapat diintegrasikan dengan sistem pengolahan limbah yang sudah ada di perusahaan client? ;Perusahaan BSP sangat berkomitment dalam membantu dan mengembangkan capability dari customer. Melakukan asesment, alignment dan integration adalah hal yang utama dalam sinergitas peralatan yang ada
Bagaimana proses instalasi, pelatihan, dan dukungan teknis untuk penggunaan produk? ;Team building yang bagus dan berpengalaman sangat membantu dalam melakukan instalasi, operasional serta transfer knowledge dalam upaya untuk menjaga keberlangsungan peralatan dan keberhasilan process 
Apakah ada opsi kustomisasi produk pengolahan limbah sesuai dengan kebutuhan spesifik perusahaan client? ;Dengan pengalaman serta kemampuan engineering sangat membantu customer dalam menentukan dan membuat spesifikasi yang tepat sesuai kebutuhan yang ada
